,logFC,logCPM,LR,PValue,padj
dsim_PG00003,0.0431918982743575,3.33665483110981,0.189492758069775,0.663339126231229,0.812633610885104
dsim_PG00004,-0.124864287915944,5.21473019619657,5.83309829263346,0.0157274007851938,0.0650061894180985
dsim_PG00012,-0.28938413421882,3.13520974784811,5.74765946217404,0.0165106400601333,0.0673497837506065
dsim_PG00014,-0.138905585586466,1.97801830927444,1.00379059027597,0.316395031087201,0.53345444552736
dsim_PG00016,-0.176838150281047,4.37644856780775,2.68042097715815,0.101588869681946,0.257506010500899
dsim_PG00017,0.249788453334118,1.41360286354721,2.44239362473162,0.118095896662074,0.285567753693923
dsim_PG00018,-0.245191212238853,2.71572465374746,4.53571743329988,0.0331945398534075,0.114943397041191
dsim_PG00020,-0.0747185276411251,1.60768011977169,0.253740713160029,0.614453355977154,0.781827499370848
dsim_PG00021,-0.437816765988536,1.17812552396143,6.01631737883591,0.0141741934112258,0.060219453043924
dsim_PG00023,-0.167882346468851,1.62852304519171,0.995392698123105,0.318427914152477,0.535796681549362
dsim_PG00024,-0.262800510386261,1.07094329672649,2.01053608049935,0.156210111746601,0.344336854595634
dsim_PG00026,-0.0475210411196308,2.98073558794476,0.219794346989653,0.639196660327685,0.79641985589883
dsim_PG00027,0.0222367536296935,2.58950576588298,0.0380222134755108,0.845398541197448,0.922029892003943
dsim_PG00028,0.37516418157079,4.88210234576622,30.3718150366068,3.56673085663394e-08,5.75195150516182e-07
dsim_PG00029,0.25533361660395,8.77068579811317,32.8566679207709,9.92101941596581e-09,1.71220655662147e-07
dsim_PG00030,-0.329372760751141,4.65379463686876,8.17936937567201,0.00423694872214681,0.0225186749127459
dsim_PG00033,0.0740428002001203,2.56919351152875,0.47784327249998,0.489400853022216,0.690699202425144
dsim_PG00034,0.0148021340263574,8.17876515243562,0.0810274155686184,0.775909887445346,0.883151455984652
dsim_PG00036,-0.25139049138681,5.13665126473715,14.6857449617001,0.000127003224277105,0.00109856266179261
dsim_PG00037,-0.168045147912922,1.20889186747723,1.05177829928906,0.305097883805963,0.522324079112685
dsim_PG00038,-0.32486096292486,2.17345435473147,6.76309751158986,0.00930620834468041,0.0428703620680233
dsim_PG00041,-0.267363307771958,4.18049197903524,9.73251270023522,0.00181036830778416,0.0110775636101835
dsim_PG00042,0.0687524674038051,3.19703837559492,0.441578257335493,0.506361679824684,0.70392339894436
dsim_PG00047,-0.075774489615994,1.03679927462972,0.163191096881709,0.686235384388977,0.827989521302472
dsim_PG00054,-0.348469155439156,9.26858321650809,33.2604061850746,8.06072438875288e-09,1.41599186056323e-07
dsim_PG00055,0.0419547384953541,3.42947673764626,0.234116407973783,0.628488230739087,0.790339470636568
dsim_PG00056,-1.34328892141688,2.07653831019573,78.5236115412304,7.90477493780513e-19,3.52006459267446e-17
dsim_PG00059,0.0198891690727849,5.20460941193575,0.123748623639493,0.72500383948015,0.854697303302615
dsim_PG00061,-0.346190830622173,1.21957536337323,4.25854127576322,0.039053443186906,0.129511893572023
dsim_PG00062,-0.366996031770385,3.46236927532266,14.0674380196442,0.000176370883954333,0.00147831861755991
dsim_PG00068,-0.0207726885034718,3.09307102402009,0.0552125254391385,0.81422933484182,0.906271922682918
dsim_PG00069,-0.320241901794905,1.11993093688362,3.34550586685317,0.0673887620659123,0.193939838913627
dsim_PG00072,-0.0815149147367123,8.74147951545855,1.94623051200959,0.162993628705378,0.354025302332577
dsim_PG00073,-0.275780029111866,2.11202796298769,3.20845939624525,0.0732584319586342,0.205899101666643
dsim_PG00074,0.290142807915552,2.52690842207946,1.77825629089926,0.182363589722619,0.380164113121397
dsim_PG00076,0.151642598609434,2.19090020267909,1.30598129659323,0.253123554526626,0.469228413696843
dsim_PG00080,0.0483737336181748,2.66989028358192,0.176096247747996,0.674749752728524,0.82039897776499
dsim_PG00082,0.0265125105905549,2.07790950554097,0.0455602861126643,0.830977110699163,0.915589381414891
dsim_PG00084,-0.0462633054585797,1.4595970535564,0.0864463620315785,0.768744437819468,0.879827097483964
dsim_PG00086,-0.118196231580608,4.49219238346164,1.90238496779994,0.167811608043938,0.360194847700157
dsim_PG00090,0.335010325937344,0.965669767109324,3.07710267127814,0.079401856531189,0.217631076373859
dsim_PG00092,-0.610021795533847,2.29998497589031,15.2539858134619,9.39782215561924e-05,0.00084603854863524
dsim_PG00093,-0.243032796193563,2.13767032594455,3.75557517275582,0.0526316849778501,0.162397337651929
dsim_PG00094,-0.157460316601014,2.9297788894351,2.96299039688991,0.0851902512233577,0.228417933992344
dsim_PG00097,-0.58721398795484,3.86283082496388,35.2019316745781,2.97228581261566e-09,5.54536289281278e-08
dsim_PG00100,0.0306992706042329,4.13794193410721,0.176737934063398,0.674191726986972,0.819987487661686
dsim_PG00101,0.0983858412566629,1.80833519190164,0.422338502195512,0.515772477640295,0.711068159070663
dsim_PG00103,-0.238716124801106,1.00864443249962,1.63033542644411,0.201656660642837,0.405826060036477
dsim_PG00106,0.136512117291086,2.59940035540712,0.921641545821476,0.337044324783194,0.554858057627205
dsim_PG00108,0.00122399593161336,3.46914066879117,0.000166860129022339,0.989693664605432,0.994934517344424
dsim_PG00109,0.00507654923660651,1.41968388065316,0.00105136888508639,0.974133270217409,0.98837232571907
dsim_PG00111,-0.109821262698833,3.39517839838519,2.21312952424021,0.136840825467782,0.314118492233106
dsim_PG00114,-0.976674986777811,8.69096391888584,172.101170869258,2.57196997440914e-39,3.71083827907751e-37
dsim_PG00117,-0.218149287006709,3.04892282558517,3.78542392454895,0.0517008123954672,0.160341287826793
dsim_PG00118,0.0872732650134395,2.64942081230962,0.583238264378464,0.445045816634467,0.65405959280206
dsim_PG00119,0.0491769305428805,2.0961881837535,0.144121731866667,0.704217355393776,0.840447336794535
dsim_PG00120,0.0140080687314742,4.35377135436577,0.0357581616720015,0.850015785025152,0.924703006912352
dsim_PG00121,-0.101578412517909,6.72545500588409,1.76088973964244,0.184513576160994,0.382494522536038
dsim_PG00127,-0.038379554532193,2.5983166483285,0.127457426676928,0.721082970565129,0.851910097089581
dsim_PG00128,-0.0525828462685937,1.45124778002953,0.0647212926291409,0.799183616800074,0.897557438234936
dsim_PG00129,-0.37059725118406,3.23991732636683,16.6952747379911,4.3890183401515e-05,0.000421790119527348
dsim_PG00130,0.00352481083911692,4.17568081642997,0.00142927686558636,0.96984253732716,0.986538206990872
dsim_PG00132,0.415130124675672,2.08544125508495,8.54922865882041,0.00345668666226871,0.0189141903238115
dsim_PG00133,-0.173014329240103,2.79056319257409,1.97254761516223,0.160177706455664,0.350388537063387
dsim_PG00135,0.214610621136754,1.26050105495892,1.2742821446549,0.25896488699994,0.474845263989069
dsim_PG00139,-0.0657258801197581,0.994593307697327,0.129998528710458,0.718433564398301,0.849543175647909
dsim_PG00140,0.305862736896523,1.55245742790548,2.69654916922352,0.100565700708122,0.25575122147182
dsim_PG00141,-0.491521936255852,2.83868730476327,22.3224154209743,2.30500278182279e-06,2.8473099431626e-05
dsim_PG00143,0.122051052385884,1.38919416898733,0.516767039780024,0.472224038430364,0.676364833865648
dsim_PG00146,0.0180591322087366,2.85365749287521,0.0243632247909868,0.875964260383433,0.93970548841173
dsim_PG00147,-0.049287675125251,1.90670435166883,0.119383313563894,0.729704300423255,0.857823169847878
dsim_PG00149,0.145715514543986,1.42619097053613,0.603043928535296,0.437418980630326,0.648665313060266
dsim_PG00150,0.119629283568605,3.27962934004469,1.80653492492118,0.178924457847264,0.375221232241327
dsim_PG00160,-0.562047279369319,2.64490177321052,23.0143433379483,1.60797233669927e-06,2.04945449416051e-05
dsim_PG00164,0.298826280707801,1.2767674501868,2.98204969093647,0.0841925896128925,0.226638048915721
dsim_PG00169,0.615635609853124,3.02042513754123,31.1083556854523,2.44018711799458e-08,4.04368526857877e-07
dsim_PG00171,-0.0634565744516828,3.03498135677585,0.409454380395413,0.522246570275929,0.716161467108837
dsim_PG00174,0.262465815436387,3.83215221322382,7.59810419701983,0.0058429706766013,0.029628296950095
dsim_PG00175,-0.15921987148476,3.74279573666863,4.83113246389226,0.0279502656082972,0.101052396975404
dsim_PG00177,0.441542370624898,7.87023361736338,12.1661596699431,0.000486643990513541,0.00360189782581876
dsim_PG00178,-0.247328831973306,3.18522269296206,6.97789723027844,0.00825225141108015,0.0390116262644379
dsim_PG00181,0.0289475994039603,2.10353627244958,0.0424485737587705,0.836767073867166,0.918128861850206
dsim_PG00182,0.225306410952124,2.47615909390121,2.89829458018503,0.0886733226890749,0.234671762760211
dsim_PG00183,0.129683059864545,5.47328750914007,3.57199739641017,0.0587615904719443,0.175688038409122
dsim_PG00184,-0.30626396097553,2.38901158110003,6.23782126684259,0.0125050219674957,0.0543659472520171
dsim_PG00186,0.302070801168499,2.0400649105704,4.86616462299296,0.0273883067587121,0.0994526400792026
dsim_PG00187,0.0393549631240333,3.09346576755444,0.144697577672421,0.703654936063554,0.839979204850028
dsim_PG00188,0.125184056609565,3.69150406044551,0.918770442691979,0.337798021089852,0.555349800397036
dsim_PG00190,0.0925234732615789,4.1882343760908,0.700134358352553,0.40273855157862,0.616683059849038
dsim_PG00191,0.202972001275749,3.22762708997338,3.5520020973568,0.0594736492787841,0.177106423905768
dsim_PG00192,0.078668339277702,1.79553088579423,0.207517600333258,0.648720080015139,0.802466523740285
dsim_PG00193,-0.00379688299087408,6.77592026898462,0.00611202603588445,0.937685310366301,0.970845206098644
dsim_PG00194,-0.143062537845347,3.24766662753384,2.54421381441201,0.110699000662979,0.273175344623512
dsim_PG00196,0.1790429185206,2.79569866607407,2.30564503121571,0.128904758891149,0.30185639384573
dsim_PG00197,-0.0446309008600304,3.03386987939362,0.228965019171593,0.632292315277915,0.792634676886033
dsim_PG00198,0.130772553113406,1.82071571284105,0.58290968999874,0.445174070077861,0.654159235783885
dsim_PG00199,0.0157360829082052,4.43933762175446,0.0412368574931996,0.839081411665048,0.918997971217357
dsim_PG00201,0.376871616213713,2.08773370829307,7.49709619561567,0.00617985566358228,0.0310024191634788
dsim_PG00202,-0.0221920702134213,1.84670664105362,0.0239425873887651,0.877031084200176,0.940383805205123
dsim_PG00203,-0.0712509842844935,2.65170113668909,0.443406990623295,0.50548261342367,0.703153022221048
dsim_PG00204,0.0469512062708795,5.28110441273147,0.441267720374412,0.506511214570212,0.703955835749411
dsim_PG00207,-0.0122390899532221,5.01873097548654,0.0474482271281342,0.827564577035832,0.914063109942302
dsim_PG00208,0.0554498258012698,3.69569564439993,0.283185347221632,0.594620987441856,0.76755263093264
dsim_PG00209,-0.0263390369467677,1.625251578502,0.0267008923213101,0.870200293188955,0.936306788564948
dsim_PG00224,-0.133128153695363,2.38662968781284,0.948453731940042,0.330113199066771,0.5475406080781
dsim_PG00225,-0.477567399654677,10.8345741548796,70.9924333292622,3.58597555152585e-17,1.40593628416889e-15
dsim_PG00226,-0.188874705372087,1.58085611929241,1.1695567597545,0.279492333154435,0.495232771747854
dsim_PG00230,0.00562840396540284,1.15011403122843,0.000897529841129341,0.976099909333964,0.988951658658988
dsim_PG00235,0.14760454180845,1.47914576930666,0.719886237646715,0.396181227798159,0.611224638564315
dsim_PG00237,0.178984355797222,2.61524685350677,1.71662389021052,0.190128205081835,0.390542389367984
dsim_PG00238,0.00516673409239353,5.91315593429588,0.00501636136975492,0.943536019123613,0.972659165755608
dsim_PG00241,-0.15719413123264,1.44142467114202,1.01948597713012,0.31264096784388,0.529351887504088
dsim_PG00243,-0.0788793394696329,2.90813634698304,0.402075343599716,0.526019404757317,0.719157607091538
dsim_PG00244,-0.063056933801925,3.34478840070011,0.183236284432606,0.668606654791026,0.816633568176038
